player,position,team,age,birth_year,minutes_90s,tackles,dribble_tackles,dribbles_vs,dribbled_past,blocks,blocked_shots,interceptions,clearances,errors,club,games,goals,assists,pens_made,cards_yellow,xg,npxg,passes_completed,pass_xa,assisted_shots,crosses_into_penalty_area,progressive_passes,sca,gca,shots,average_shot_distance,through_balls,throw_ins,corner_kicks,touches,miscontrols,dispossessed,gk_goals_against,fouls,fouled,offsides,own_goals,ball_recoveries,aerials_won,unused_subs,points_per_game,on_goals_for,plus_minus
Luke Shaw,DF,England,27-159,1995.0,4.7,3.0,1.0,2.0,1.0,2.0,0.0,4.0,5.0,0.0,Manchester Utd,5.0,0.0,1.0,0.0,0.0,0.1,0.1,335.0,0.9,8.0,4.0,31.0,13.0,3.0,3.0,23.1,0.0,33.0,4.0,419.0,5.0,2.0,,5.0,4.0,0.0,0.0,21.0,3.0,0,2.0,12.0,8.0
Luuk de Jong,FW,Netherlands,32-113,1990.0,0.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PSV Eindhoven,1.0,0.0,0.0,0.0,0.0,0.1,0.1,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,19.0,0.0,2.0,,1.0,1.0,1.0,0.0,2.0,3.0,4,1.0,2.0,1.0
Majid Hosseini,DF,IR Iran,26-181,1996.0,3.0,7.0,6.0,9.0,3.0,3.0,2.0,6.0,11.0,0.0,Kayserispor,3.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,0.0,1.0,0.0,137.0,1.0,1.0,,4.0,1.0,1.0,0.0,22.0,6.0,0,1.0,4.0,-3.0
Manuel Akanji,DF,Switzerland,27-152,1995.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,12.0,0.0,Manchester City,4.0,1.0,0.0,0.0,1.0,1.1,1.1,229.0,0.1,1.0,0.0,14.0,2.0,0.0,4.0,12.3,0.0,1.0,0.0,287.0,0.0,1.0,,4.0,1.0,0.0,0.0,18.0,9.0,0,1.5,5.0,-4.0
Manuel Neuer,GK,Germany,36-266,1986.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Bayern Munich,3.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,133.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0,1.33,6.0,1.0
Marcelo Brozović,MF,Croatia,30-032,1992.0,6.1,13.0,3.0,10.0,7.0,13.0,7.0,4.0,7.0,0.0,Inter,6.0,0.0,0.0,0.0,1.0,0.5,0.5,466.0,0.2,5.0,0.0,25.0,10.0,1.0,4.0,17.4,1.0,0.0,0.0,594.0,5.0,8.0,,12.0,11.0,0.0,0.0,45.0,6.0,1,1.17,5.0,0.0
Marco Asensio,FW,Spain,26-331,1996.0,2.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Real Madrid,4.0,1.0,0.0,0.0,0.0,1.2,1.2,89.0,0.1,2.0,0.0,5.0,2.0,0.0,10.0,20.1,0.0,1.0,2.0,150.0,12.0,3.0,,3.0,3.0,0.0,0.0,3.0,0.0,0,1.25,5.0,5.0
Marcos Acuña,DF,Argentina,31-051,1991.0,4.1,12.0,6.0,7.0,1.0,8.0,1.0,2.0,9.0,0.0,Sevilla,6.0,0.0,0.0,0.0,3.0,0.1,0.1,167.0,0.4,5.0,0.0,9.0,7.0,1.0,2.0,17.9,1.0,26.0,4.0,269.0,7.0,4.0,,9.0,9.0,0.0,0.0,16.0,5.0,0,1.83,8.0,5.0
Marcos Llorente,DF,Spain,27-322,1995.0,1.3,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Atlético Madrid,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,22.4,0.0,13.0,0.0,107.0,1.0,0.0,,0.0,0.0,0.0,0.0,9.0,0.0,3,1.0,0.0,0.0
Marcus Rashford,FW,England,25-048,1997.0,1.6,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,Manchester Utd,5.0,3.0,0.0,0.0,0.0,1.6,1.6,49.0,0.0,0.0,0.0,1.0,3.0,1.0,11.0,16.6,0.0,1.0,0.0,92.0,4.0,1.0,,1.0,0.0,1.0,0.0,8.0,1.0,0,2.0,5.0,4.0
